TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-05-23 17:29:55,786    	Travel.API                                   	EFCoreLogs-myClusteredCache                	43                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:56,275    	Travel.API                                   	EFCoreLogs-myClusteredCache                	43                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:56,277    	Travel.API                                   	EFCoreLogs-myClusteredCache                	43                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:56,840    	Travel.API                                   	EFCoreLogs-myClusteredCache                	41                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:57,372    	Travel.API                                   	EFCoreLogs-myClusteredCache                	38                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:57,380    	Travel.API                                   	EFCoreLogs-myClusteredCache                	38                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:57,868    	Travel.API                                   	EFCoreLogs-myClusteredCache                	41                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:57,983    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:57,986    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:30:08,570    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:30:08,574    	Travel.API                                   	EFCoreLogs-myClusteredCache                	30                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:30:12,236    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:30:12,238    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:30:16,313    	Travel.API                                   	EFCoreLogs-myClusteredCache                	39                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:30:16,316    	Travel.API                                   	EFCoreLogs-myClusteredCache                	39                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
