TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-05-23 17:28:04,537    	Travel.API                                   	EFCoreLogs-myClusteredCache                	32                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:28:06,827    	Travel.API                                   	EFCoreLogs-myClusteredCache                	32                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:28:06,829    	Travel.API                                   	EFCoreLogs-myClusteredCache                	32                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:28:10,294    	Travel.API                                   	EFCoreLogs-myClusteredCache                	29                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:28:10,299    	Travel.API                                   	EFCoreLogs-myClusteredCache                	29                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:28:56,722    	Travel.API                                   	EFCoreLogs-myClusteredCache                	34                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:28:57,754    	Travel.API                                   	EFCoreLogs-myClusteredCache                	34                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:28:59,633    	Travel.API                                   	EFCoreLogs-myClusteredCache                	38                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:28:59,635    	Travel.API                                   	EFCoreLogs-myClusteredCache                	38                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:18,723    	Travel.API                                   	EFCoreLogs-myClusteredCache                	44                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
